time,input_u,output_y,mode_q
6.06,4.42907933228669,101.083718658445,2
6.07,4.43631718196644,101.404550695053,2
6.08,4.44317030892048,101.708811970363,2
6.09,4.44963763096062,101.996375234304,2
6.1,4.45571812682172,102.267120128438,2
6.11,4.46141083632301,102.520933252302,2
6.12,4.46671486051967,102.757708225936,2
6.13,4.47162936184479,102.977345748562,2
6.14,4.47615356424163,103.179753653365,2
6.15,4.48028675328619,103.364846958359,2
6.16,4.48402827630002,103.532547913291,2
6.17,4.48737754245325,103.682786042569,2
6.18,4.49033402285793,103.815498184177,2
6.19,4.49289725065153,103.930628524561,2
6.2,4.49506682107068,104.028128629452,2
6.21,4.49684239151504,104.107957470634,2
6.22,4.49822368160147,104.170081448602,2
6.23,4.49921047320825,104.214474411134,2
6.24,4.49980261050954,104.241117667742,2
6.25,4.5,104.25,2
6.26,4.49980261050954,104.241117667742,2
6.27,4.49921047320825,104.214474411134,2
6.28,4.49822368160147,104.170081448602,2
6.29,4.49684239151504,104.107957470634,2
6.3,4.49506682107068,104.028128629452,2
6.31,4.49289725065153,103.930628524561,2
6.32,4.49033402285793,103.815498184177,2
6.33,4.48737754245325,103.682786042569,2
6.34,4.48402827630002,103.532547913291,2
6.35,4.48028675328619,103.364846958359,2
6.36,4.47615356424163,103.179753653365,2
6.37,4.47162936184479,102.977345748562,2
6.38,4.46671486051967,102.757708225936,2
6.39,4.46141083632301,102.520933252302,2
6.4,4.45571812682172,102.267120128438,2
6.41,4.44963763096062,101.996375234304,2
6.42,4.44317030892048,101.708811970363,2
6.43,4.43631718196644,101.404550695053,2
6.44,4.42907933228669,101.083718658445,2
6.45,4.42145790282158,100.746449932117,2
6.46,4.41345409708319,100.392885335302,2
6.47,4.40506917896521,100.023172357346,2
6.48,4.39630447254344,99.6374650765272,2
6.49,4.38716136186661,99.2359240752763,2
6.5,4.37764129073788,98.8187163518662,2
6.51,4.36774576248686,98.3860152286097,2
6.52,4.35747633973216,97.9380002566279,2
6.53,4.34683464413469,97.4748571172476,2
6.54,4.33582235614153,96.9967775200834,2
6.55,4.32444121472063,96.5039590978722,2
6.56,4.31269301708615,95.996605298118,2
6.57,4.30057961841468,95.4749252716186,2
6.58,4.28810293155229,94.9391337579369,2
6.59,4.27526492671249,94.3894509678897,2
6.6,4.26206763116505,93.8261024631243,2
6.61,4.24851312891593,93.2493190328551,2
6.62,4.23460356037816,92.6593365678369,2
6.63,4.22034112203386,92.0563959316502,2
6.64,4.20572806608738,91.4407428293755,2
6.65,4.19076670010966,90.81262767374,2
6.66,4.17545938667381,90.1723054488123,2
6.67,4.15980854298209,89.5200355713339,2
6.68,4.14381664048413,88.8560817497659,2
6.69,4.12748620448673,88.1807118411414,2
6.7,4.11081981375504,87.4941977058051,2
6.71,4.09382010010536,86.7968150601331,2
6.72,4.07648974798953,86.0888433273188,2
6.73,4.05883149407107,85.3705654863159,2
6.74,4.04084812679296,84.6422679190308,2
6.75,4.02254248593737,83.9042402558559,2
6.76,4.00391746217719,83.1567752196373,2
6.77,3.98497599661959,82.4001684681714,2
6.78,3.96572108034155,81.6347184353267,2
6.79,3.94615575391756,80.8607261708833,2
6.8,3.92628310693947,80.0784951791915,2
